Customer_ID,First name,Last name,date of birth,gender,agree_for_promo,autopay_card,email,MSISDN,Status,customer category,customer_since,region,language,termination_date
00001,Joao,Almeida,06.09.1986,male,Yes,,joao.almeida86@gmail.com
00002,Aline,Ferreira,01.05.1985,female,No,,aline.ferreira85@gmail.com
00003,Luiz,Rodrigues,26.10.1973,male,No,,luiz.rodrigues73@gmail.com
00004,Marcia,Gomes,14.12.1982,female,No,,marcia.gomes82@gmail.com
00005,Jose,Sousa,14.06.1977,male,No,,jose.sousa77@gmail.com
00006,Joao,Alves,20.02.2004,male,Yes,,joao.alves04@gmail.com
00007,Franciska,Carvalho,10.04.1999,female,Yes,,franciska.carvalho99@gmail.com
00008,Joao,Silva,28.12.1949,male,No,,joao.silva49@gmail.com
00009,Fernanda,Silva,25.05.1990,female,No,,fernanda.silva90@gmail.com
00010,Marcia,Melo,18.08.1984,female,No,,marcia.melo84@gmail.com
00011,Fernanda,Carvalho,01.11.1982,female,No,,fernanda.carvalho82@gmail.com
00012,Jose,Melo,10.03.1978,male,No,,jose.melo78@gmail.com
00013,Aline,Sousa,08.04.1953,female,No,,aline.sousa53@gmail.com
00014,Antonio,Araujo,01.11.1970,male,No,,antonio.araujo70@gmail.com
00015,Patricia,Pereira,22.06.1964,female,No,,patricia.pereira64@gmail.com
00016,Carlos,Costa,18.06.2002,male,Yes,,carlos.costa02@gmail.com
00017,Andriana,Cardoso,23.11.1956,female,No,,andriana.cardoso56@gmail.com
00018,Fernanda,Sousa,11.09.1947,female,No,,fernanda.sousa47@gmail.com
00019,Pedro,Costa,17.06.2003,male,Yes,,pedro.costa03@gmail.com
00020,Francisco,Melo,17.08.1988,male,No,,francisco.melo88@gmail.com
00021,Jose,Rodrigues,11.04.1980,male,No,,jose.rodrigues80@gmail.com
00022,Carlos,Alves,14.11.1992,male,No,,carlos.alves92@gmail.com
00023,Carlos,Carvalho,30.01.1967,male,No,,carlos.carvalho67@gmail.com
00024,Antonia,Rodrigues,06.03.1985,female,No,,antonia.rodrigues85@gmail.com
00025,Carlos,Almeida,30.11.1979,male,No,,carlos.almeida79@gmail.com
00026,Francisco,Araujo,25.05.2002,male,No,,francisco.araujo02@gmail.com
00027,Pedro,Araujo,23.10.1988,male,No,,pedro.araujo88@gmail.com
00028,Jose,Ribeiro,25.08.1957,male,No,,jose.ribeiro57@gmail.com
00029,Aline,Rodrigues,27.07.1933,female,No,,aline.rodrigues33@gmail.com
00030,Paulo,Araujo,25.10.1984,male,No,,paulo.araujo84@gmail.com
00031,Joao,Sousa,20.04.1943,male,No,,joao.sousa43@gmail.com
00032,Luiz,Costa,14.07.1989,male,No,,luiz.costa89@gmail.com
00033,Antonio,Sousa,20.10.1992,male,No,,antonio.sousa92@gmail.com
00034,Joao,Melo,10.01.1941,male,No,,joao.melo41@gmail.com
00035,Franciska,Araujo,31.01.1970,female,No,,franciska.araujo70@gmail.com
00036,Carlos,Santos,12.02.1983,male,No,,carlos.santos83@gmail.com
00037,Antonio,Ferreira,22.02.1987,male,No,,antonio.ferreira87@gmail.com
00038,Fernanda,Sousa,04.06.1971,female,No,,fernanda.sousa71@gmail.com
00039,Luiz,Pereira,07.07.1963,male,No,,luiz.pereira63@gmail.com
00040,Fernanda,Ribeiro,06.08.1977,female,No,,fernanda.ribeiro77@gmail.com
00041,Patricia,Costa,04.06.1978,female,No,,patricia.costa78@gmail.com
00042,Carlos,Oliveira,27.05.1979,male,No,,carlos.oliveira79@gmail.com
00043,Lucas,Santos,26.06.1970,male,No,,lucas.santos70@gmail.com
00044,Franciska,Ferreira,16.08.1986,female,Yes,,franciska.ferreira86@gmail.com
00045,Marcia,Ferreira,02.06.1965,female,No,,marcia.ferreira65@gmail.com
00046,Joao,Rodrigues,11.05.1973,male,No,,joao.rodrigues73@gmail.com
00047,Joao,Martins,19.02.2003,male,Yes,,joao.martins03@gmail.com
00048,Paulo,Cardoso,06.09.1967,male,No,,paulo.cardoso67@gmail.com
00049,Patricia,Martins,03.08.1946,female,No,,patricia.martins46@gmail.com
00050,Patricia,Ferreira,06.12.1986,female,No,,patricia.ferreira86@gmail.com
00051,Luiz,Sousa,19.07.1959,male,No,,luiz.sousa59@gmail.com
